"Host.Species","Lake","Year","Julian.Day","Total","pasteuria.inf","metsch.inf","scarlet.inf","brood.inf","larssonia.inf","spider.inf","gurleya.inf","pasteuria.prev","metsch.prev","scarlet.prev","brood.prev","larssonia.prev","spider.prev","gurleya.prev","Density"
"dentifera","CrookedW","2015",2015254,176,0,0,0,1,0,0,0,0,0,0,0.00568181818181818,0,0,0,74820.6
"dentifera","Appleton","2015",2015257,92,1,0,0,0,0,0,0,0.0108695652173913,0,0,0,0,0,0,38700.3
"dentifera","Bishop","2015",2015257,165,12,0,0,1,0,0,0,0.0727272727272727,0,0,0.00606060606060606,0,0,0,119971
"dentifera","LittleAppleton","2015",2015257,337,0,0,0,2,0,0,0,0,0,0,0.00593471810089021,0,0,0,1110699
"dentifera","Pickerel","2015",2015259,234,48,0,0,2,0,0,0,0.205128205128205,0,0,0.00854700854700855,0,0,0,157381.3
"dentifera","Gosling","2015",2015259,202,0,0,0,4,0,0,0,0,0,0,0.0198019801980198,0,0,0,154801.3
"dentifera","Sullivan","2015",2015259,299,12,0,1,0,0,0,0,0.040133779264214,0,0.00334448160535117,0,0,0,0,539224.4
"dentifera","Woodland","2015",2015260,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935
"dentifera","Whitmore","2015",2015260,15,0,0,0,1,0,0,0,0,0,0,0.0666666666666667,0,0,0,5805
"dentifera","Walsh","2015",2015264,233,6,4,1,2,0,0,0,0.0257510729613734,0.0171673819742489,0.00429184549356223,0.00858369098712446,0,0,0,236071.9
"dentifera","Mill","2015",2015264,214,2,0,0,0,0,0,0,0.00934579439252336,0,0,0,0,0,0,116100.9
"dentifera","Bruin","2015",2015266,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30960.3
"dentifera","CrookedP","2015",2015266,350,2,0,0,0,0,0,0,0.00571428571428571,0,0,0,0,0,0,50310.4
"dentifera","North","2015",2015266,98,1,0,0,10,0,0,0,0.0102040816326531,0,0,0.102040816326531,0,0,0,67080.5
"dentifera","CrookedW","2015",2015268,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56760.5
"dentifera","Cedar","2015",2015268,217,15,0,0,3,0,0,0,0.0691244239631336,0,0,0.0138248847926267,0,0,0,247682
"dentifera","Sullivan","2015",2015271,368,33,0,2,0,0,0,0,0.0896739130434783,0,0.00543478260869565,0,0,0,0,286382.3
"dentifera","Gosling","2015",2015271,220,0,0,0,18,1,0,0,0,0,0,0.0818181818181818,0.00454545454545455,0,0,309602.5
"dentifera","Pickerel","2015",2015271,180,22,0,1,3,0,0,0,0.122222222222222,0,0.00555555555555556,0.0166666666666667,0,0,0,73530.6
"dentifera","LittleAppleton","2015",2015273,327,1,0,0,3,0,0,0,0.00305810397553517,0,0,0.00917431192660551,0,0,0,1528662.4
"dentifera","Bishop","2015",2015273,141,1,0,0,0,0,0,0,0.00709219858156028,0,0,0,0,0,0,46440.4
"dentifera","Appleton","2015",2015273,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38700.3
"dentifera","Whitmore","2015",2015275,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dentifera","Mill","2015",2015278,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21672.2
